loan_h,person_h,borrowed_gpu_h,overrun_gpu_h,harm_h
1.0,1284.4,4525,2933,4.0
2.0,1267.4,7453,2923,4.0
5.11,1183.2,10028,2626,4.3
12.0,1092.1,15345,2670,4.4
24.0,994.7,23183,1213,4.3
